gene,pval
ofav29951,-1.848403566
ofav7187,-1.841926092
ofav92628,-1.839973133
ofav12599,-1.838998423
ofav73828,-1.837476427
ofav45626,-1.836145692
ofav82133,-1.835588335
ofav46820,-1.834526922
ofav55309,-1.833949808
ofav20948,-1.825944796
ofav16302,-1.82570615
ofav44128,-1.819359251
ofav44824,-1.813333368
ofav5781,-1.812406458
ofav44471,-1.811802126
ofav36287,-1.807352146
ofav43581,-1.806315177
ofav58747,-1.80041831
ofav41997,-1.794851801
ofav34650,-1.791787223
ofav24419,-1.79076614
ofav61511,-1.787480043
ofav43019,-1.783812763
ofav151807,-1.781394662
ofav86429,-1.771053121
ofav7545,-1.754570674
ofav45602,-1.753728243
ofav70730,-1.753067962
ofav76339,-1.742913356
ofav12437,-1.740849575
ofav22542,-1.740044007
ofav53457,-1.739391767
ofav98872,-1.7312603
ofav45344,-1.729660437
ofav43854,-1.726503053
ofav72514,-1.722206319
ofav8539,-1.722030735
ofav18914,-1.719429847
ofav45601,-1.706581152
ofav40638,-1.698249993
ofav71411,-1.697233433
ofav86186,-1.690803637
ofav65539,-1.682864833
ofav35368,-1.679023455
ofav44863,-1.677568534
ofav18923,-1.674061361
ofav45834,-1.670295769
ofav42606,-1.662044546
ofav46235,-1.659802065
ofav32709,-1.655238833
ofav10269,-1.651368032
ofav25665,-1.64954953
ofav59974,-1.648275952
ofav39261,-1.643638288
ofav55066,-1.636178815
ofav29538,-1.630936796
ofav43771,-1.629702441
ofav44321,-1.625865528
ofav98667,-1.610407868
ofav65713,-1.609499892
ofav38715,-1.606213243
ofav25617,-1.60366893
ofav62270,-1.602392603
ofav29326,-1.601837498
ofav38024,-1.601339976
ofav7182,-1.598005146
ofav70374,-1.597133134
ofav41863,-1.594974055
ofav8249,-1.592607627
ofav14196,-1.591791518
ofav79006,-1.591475065
ofav37122,-1.587022567
ofav49053,-1.578374443
ofav28842,-1.574605699
ofav45724,-1.573836687
ofav37806,-1.573045544
ofav50436,-1.569386168
ofav12260,-1.565112173
ofav46678,-1.56366777
ofav147971,-1.559285209
ofav23428,-1.555213879
ofav44336,-1.555136399
ofav46259,-1.554068145
ofav44300,-1.553792186
