,B,B,B,D,D,D,pval.BD,padj.BD
ofav145590,1.70626674297022,0.421800235816858,0.894173112423933,-0.211547644882578,0.286966303636862,-0.581086389997432,0.173410700012096,NA
ofav147112,-0.272202302417527,0.0674613026839799,0.423977157859801,-0.687899796316516,-0.0347159290634891,0.0261581811322177,0.782440729669125,NA
ofav148017,-0.317218845071213,0.0273338989513601,0.606497011012311,-0.755156220140277,-0.0763140781838406,-0.321979093456352,0.608498120854708,NA
ofav155266,1.70626674297022,0.421800235816858,0.894173112423933,-0.211547644882578,0.286966303636862,-0.581086389997432,0.173410700012096,NA
ofav15672,-0.299785147179131,0.0311676022036462,-0.0586892847923053,-0.698983348071292,-0.0683892395163855,0.345086240383532,0.955089861553012,NA
ofav159223,-0.213867846584622,0.119326953251134,-0.102531230137547,-0.130790327742833,0.0190956603821339,0.290571025403523,0.884710591016275,NA
ofav16085,-0.0306625770265482,0.410849909399945,0.204128943124592,0.303927232482744,1.36946782204629,0.153528970794544,0.659369665263896,NA
ofav16400,-0.193532464732205,0.146117737914944,-0.0832584257845781,0.370451255311651,0.0439445378790405,-0.0952618965411922,0.862842520878402,NA
ofav16930,3.02450601148547,0.562067244227415,0.427412034223611,-0.50285685660027,0.415009107424093,0.0363226044066485,0.0514249436321799,NA
ofav17130,-0.288739631069206,0.0417486557153462,-0.671198672153385,0.0240238212619718,-0.0576684668772191,0.292636818374066,0.676090970444008,NA
ofav18646,0.935709883021318,0.364076647521813,0.543979887114866,0.394598873611017,0.239321670608786,-0.496683330390925,0.581310735192435,NA
ofav19690,0.840094318235709,0.250612898993132,0.657293049434751,0.31406352620655,0.125465212104545,-1.26533394210907,0.512694241360007,NA
ofav19872,0.0890323265972401,0.580999585894467,0.266385059392717,0.214062895087143,2.97510943537548,0.0397110354156699,0.209050489881816,NA
ofav20478,-0.184579963511198,0.15549531052454,0.335874177064119,-0.103946859619452,0.0531942409814861,0.0106072074462034,0.899867958590318,NA
ofav21036,-0.190262147819227,0.15307933442512,0.243708505044677,0.289727498193745,0.0497957277245543,-0.309008363541039,0.971145089404794,NA
ofav22061,-0.22617833524307,0.109654472370228,0.203137454708687,-0.411837151681019,0.00862961690579713,0.208759767952351,0.943705042808542,NA
ofav23566,-0.192290818764423,0.151453924068534,0.335613284930764,0.211530636029223,0.0480490089616568,-0.332273428466911,0.91486608177326,NA
ofav24032,-0.175480980217098,0.162491744945325,0.157482985730453,0.0213492788546734,0.0608231618396241,0.104864418169971,0.990202322378815,NA
ofav2415,-0.288739631069206,0.0417486557153462,-0.671198672153385,0.0240238212619718,-0.0576684668772191,0.292636818374066,0.676090970444008,NA
ofav25617,3.18159535187544,1.96851454741948,0.141601540965992,0.288560035531979,0.587511076255834,-0.316515527101039,0.024907553402081,NA
ofav25940,-0.213867846584622,0.119326953251134,-0.102531230137547,-0.130790327742833,0.0190956603821339,0.290571025403523,0.884710591016275,NA
ofav26486,-0.274786137863385,0.0547892159854638,-0.456812595086777,-0.186408023681207,-0.0443532791264407,0.360903874327258,0.760980537836919,NA
ofav27005,2.67234532731057,0.487645936279917,0.77551435964434,-0.912829556544937,0.343264769002172,-0.180095243646286,0.0486231289864503,NA
ofav27046,-0.226310655749949,0.118634087662391,0.541780878031585,-0.14185907947882,0.0148681897023165,-0.3679608690415,0.740069190330893,NA
ofav27365,-0.197693856487475,0.146452510119459,0.413097365845287,0.111574452448095,0.0429267789910459,-0.337968206495355,0.858059006479587,NA
ofav27655,0.905094794285727,0.346105964497752,0.697748040043374,-0.365153908227096,0.221700352728678,0.00939995232319518,0.431210483556512,NA
ofav27669,-0.0676166954665817,0.37399706564988,-0.194435781293479,0.623862067773192,1.33283486727985,-0.0131144197366415,0.484342526431121,NA
ofav27809,-0.200818042719228,0.136305451851588,0.231934957585418,-0.253234163250546,0.0348923333575274,0.163795453890749,0.947908238073794,NA
ofav27832,-0.219223554483431,0.114416784042413,0.0118768859466327,-0.269067829747117,0.0140514647151585,0.287122953763362,0.945350163651955,NA
ofav2851,-0.175480980217098,0.162491744945325,0.157482985730453,0.0213492788546734,0.0608231618396241,0.104864418169971,0.990202322378815,NA
ofav29758,-0.268201779337747,0.0680653729260469,0.265579645938912,-0.675938448499564,-0.0330901416179714,0.183843577904016,0.888285111693159,NA
ofav30366,-0.0305029477180816,4.03586043722772,0.532076761879207,-1.79695510419416,0.329531258517523,0.115250814262855,0.133232778185494,NA
ofav3044,-0.140220510196543,1.43163057684641,-0.535962337804152,-0.0972389434145505,0.176311254858161,0.610462949820409,0.977328429019022,NA
ofav30443,-0.0400425665329176,0.401265100551474,0.342886043028972,-0.0135189640554807,1.35943830665784,0.268781676840543,0.748908804495473,NA
ofav3053,-0.0937889602795066,0.346476847133173,-0.464964354518876,0.259242424674283,1.30238795335681,0.441971896263078,0.409393256665207,NA
ofav30716,-0.206481162975046,0.131484748513855,-0.233636491398079,0.357784734238302,0.0298182150899216,-0.00928609259011796,0.803113144148629,NA
ofav30917,-0.173668243431566,0.16598866066509,0.256600779204937,0.0236790593794842,0.0638134447065229,0.0201876844989227,0.956945728696241,NA
ofav31591,1.75209012679139,0.492541183707017,0.648249352989853,0.0467929567849627,0.357951280420473,-0.0927392760618687,0.305570937899752,NA
ofav31660,-0.184258827576413,0.152857796379604,-0.0742563644384411,0.209916217709666,0.0514467446963234,0.096837935611447,0.871108554171859,NA
ofav32011,0.90770942494668,0.334129271923488,-0.170722885002799,0.740995708986801,0.209776065972296,-0.318088217866413,0.909244761024137,NA
