Gene_id	GO terms
ofav36835	GO:0030478;GO:0015629;GO:0072562;GO:0030864;GO:0005737;GO:0005829;GO:0070062;GO:0005576;GO:0005615;GO:1904813;GO:0005925;GO:0030027;GO:0043209;GO:0048471;GO:0005886;GO:0002102;GO:0001726;GO:0016528;GO:0034774;GO:0003779;GO:0005509;GO:0045159;GO:0019904;GO:0051693;GO:0030041;GO:0090527;GO:0051014;GO:0045010;GO:0007568;GO:1990000;GO:0051016;GO:0044267;GO:0071276;GO:0060271;GO:0097284;GO:0046597;GO:0043312;GO:0014003;GO:0006911;GO:0048015;GO:0051127;GO:2001269;GO:0010628;GO:1902174;GO:1903923;GO:0031648;GO:1903903;GO:1903906;GO:0071801;GO:1903909;GO:1903689;GO:0097017;GO:0045471;GO:0051593;GO:0042989;GO:0014891;GO:0042246
ofav73884	GO:0005675;GO:0043138;GO:0005524;GO:0004003;GO:0016887;GO:0003677;GO:0008022;GO:0047485;GO:0006915;GO:0006281;GO:0006265;GO:0035315;GO:0006289;GO:0000717;GO:0033683;GO:0045944;GO:0008104;GO:0006468;GO:1901990;GO:0006979;GO:0009411;GO:0006366;GO:0006367;GO:0006283
ofav107	GO:0005595;GO:0005788;GO:0070062;GO:0031012;GO:0005576;GO:0005615;GO:1903561;GO:0030020;GO:0007155;GO:0030574;GO:0030199;GO:0035987;GO:0001501
ofav16609	GO:0000785;GO:0005677;GO:0005654;GO:0003682;GO:0000976;GO:0006342;GO:0016569;GO:0031507;GO:0045892;GO:0006351
ofav77937	GO:0005737;GO:0005635;GO:0005730;GO:0005524;GO:0009931;GO:0005516;GO:0004683;GO:0004674;GO:0006974;GO:0035556;GO:0018105;GO:0046777
ofav43989	GO:0005789;GO:0005576;GO:0004169;GO:0071712
ofav114381	GO:0005783;GO:0044322;GO:0000139;GO:0030176;GO:0005509;GO:0001948;GO:0004571;GO:0051787;GO:1904382;GO:0006491;GO:1904154;GO:0006986;GO:0036510;GO:0030433;GO:0097466
ofav44522	GO:0035578;GO:0005783;GO:0005768;GO:0070062;GO:0005576;GO:0005615;GO:0005764;GO:0008083;GO:0003723;GO:0043312;GO:0007165
ofav22902	GO:0017160
ofav45433	GO:0005604;GO:0005829;GO:0005925;GO:0005887;GO:0016020;GO:0005886;GO:0005178;GO:0007155;GO:0016477;GO:0007166;GO:0031581;GO:0042098
ofav100912	GO:0005737;GO:0005634;GO:0004342;GO:0016787;GO:0005975;GO:0006044
ofav45958	GO:0005737;GO:0005634;GO:0005524;GO:0004127;GO:0009041;GO:0006207;GO:0006221
ofav37570	GO:0031410;GO:0005783;GO:0005789;GO:0010008;GO:0016021;GO:0005765;GO:0004842;GO:0008270;GO:0006897;GO:0016567
ofav76845	GO:0016021;GO:0005743;GO:0005739;GO:0015218;GO:0000002;GO:1990519;GO:0007005;GO:0006864;GO:0051881
ofav59877	GO:0043231;GO:0005654;GO:0005634;GO:0043234;GO:0003682;GO:0003677;GO:0048286;GO:0000122;GO:0006351
ofav59837	GO:0005634;GO:0003677;GO:0051287;GO:0003950;GO:0008270;GO:1990966;GO:0006471
ofav112130	GO:0004332;GO:0006096
ofav121530	GO:0005524;GO:0004715
ofav39159	GO:0031462;GO:0004842;GO:0051438
ofav142142	GO:0005776;GO:0005829;GO:0005770;GO:0030496;GO:0005942;GO:0035032;GO:0016303;GO:0005524;GO:0042149;GO:0000910;GO:0045022;GO:0016236;GO:0048015
ofav78899	GO:0000785;GO:0005737;GO:0016020;GO:0005654;GO:0005634;GO:0050681;GO:0031490;GO:0001047;GO:0051213;GO:0032454;GO:0005506;GO:0003700;GO:0000976;GO:0030521;GO:0046293;GO:0033169;GO:0036123;GO:0009755;GO:0051573;GO:0045944;GO:0045893;GO:0010468;GO:2000736;GO:2000036;GO:0007290;GO:0007283;GO:0006351
ofav65975	GO:0005737;GO:0031965;GO:0005654;GO:0005634;GO:0051539;GO:0005524;GO:0004003;GO:0003682;GO:0003677;GO:0046872;GO:1904385;GO:0071456;GO:0071295;GO:0051026;GO:0000077;GO:0006260;GO:0000731;GO:0006302;GO:1990918;GO:0010705;GO:0008285;GO:0010629;GO:1901796;GO:0006357;GO:0009636;GO:0072520;GO:0007286;GO:0007284;GO:0000732
ofav133309	GO:0031410;GO:0005829;GO:0070062;GO:0005794;GO:0043231;GO:0005764;GO:0031982;GO:0008239;GO:0008236
ofav39198	GO:0005623;GO:0004550;GO:0030154;GO:0045454;GO:0006241;GO:0006183;GO:0007275;GO:0007283;GO:0006228
ofav32604	GO:0005858;GO:0005737;GO:0030286;GO:0005874;GO:0005524;GO:0016887;GO:0003777;GO:0060285;GO:0007018
ofav44590	GO:0005829;GO:0033116;GO:0000139;GO:0016021;GO:0031201;GO:0031982;GO:0005484;GO:0000149;GO:0034498;GO:0006888;GO:0090166;GO:0006886;GO:0045732;GO:1903358;GO:0048278;GO:0006906
ofav141631	GO:0005813;GO:0005829;GO:0016021;GO:0016020;GO:0005654;GO:0004842;GO:0008270;GO:0042787
ofav22088	GO:0005783;GO:0005788;GO:0043231;GO:0016020;GO:0005739;GO:0016222;GO:0005506;GO:0031418;GO:0016702;GO:0004656;GO:0030199;GO:0018401
ofav32009	GO:0005743;GO:0005739;GO:0048039;GO:0045333;GO:0006744
ofav63431	GO:0005829;GO:0043025;GO:0005886;GO:0014069;GO:0003677;GO:0005085;GO:0005088;GO:0005089;GO:0001782;GO:0048514;GO:0003209;GO:0007173;GO:0061029;GO:0001942;GO:0003007;GO:0061384;GO:0002260;GO:1904693;GO:0035264;GO:0048011;GO:0060021;GO:0003344;GO:0045742;GO:0046579;GO:0007265;GO:2000973;GO:0035023;GO:0033081;GO:0042129;GO:0007264;GO:0007296
ofav8949	GO:0016021;GO:0005886;GO:0072509;GO:0070838
ofav33384	GO:0016607;GO:0005634;GO:0046872;GO:0003723
ofav128467	GO:0000118;GO:0005654;GO:0005634;GO:0005876;GO:0017053;GO:0008013;GO:0003677;GO:0042393;GO:0047485;GO:0003714;GO:0044212;GO:0060612;GO:0060070;GO:0060613;GO:0016575;GO:0016042;GO:0035264;GO:0000122;GO:0045892;GO:0045944;GO:0045893;GO:0043161;GO:0030814;GO:0010468;GO:0090207;GO:0002021;GO:0006351;GO:0050872
ofav69470	GO:0005634;GO:0005524;GO:0004674;GO:0007049;GO:0006974;GO:0016569;GO:0006886;GO:0035556;GO:0006468;GO:0001672
ofav31825	GO:0020002;GO:0016020;GO:0005524;GO:0004714
ofav41859	GO:0005886;GO:0016208;GO:0006950
ofav108317	GO:0005938;GO:0030054;GO:0005856;GO:0005829;GO:0003785;GO:0007015;GO:0007399
ofav119080	GO:0012505;GO:0005622;GO:0005509;GO:0005096;GO:0017137;GO:0090630;GO:0006886;GO:0031338
ofav7432	GO:0005737;GO:0031410;GO:0005829;GO:0005794;GO:0005654;GO:0005886;GO:0031932;GO:0070300;GO:0005547;GO:0043325;GO:0080025;GO:0005546;GO:0019901;GO:0017016;GO:0030950;GO:0046580;GO:0031098;GO:0021762;GO:0038203
ofav38687	GO:0005829;GO:0005783;GO:0005743;GO:0005739;GO:0051537;GO:0050660;GO:0046872;GO:0016491;GO:0045454;GO:0097194
ofav120950	GO:0035577;GO:0005829;GO:0031901;GO:0010008;GO:0070062;GO:0043231;GO:0005765;GO:0016020;GO:0005886;GO:0030667;GO:0007032;GO:0043312;GO:0001649;GO:0015031;GO:2000641;GO:1902954
